drug,creationDate,type,status
DB00577,2005-06-13,small molecule,approved
DB00578,2005-06-13,small molecule,approved
DB00579,2005-06-13,small molecule,approved
DB00580,2005-06-13,small molecule,withdrawn
DB00581,2005-06-13,small molecule,approved
DB00582,2005-06-13,small molecule,approved
DB00583,2005-06-13,small molecule,approved
DB00584,2005-06-13,small molecule,approved
DB00585,2005-06-13,small molecule,approved
DB00586,2005-06-13,small molecule,approved
DB00587,2005-06-13,small molecule,approved
DB00588,2005-06-13,small molecule,approved
DB00589,2005-06-13,small molecule,approved
DB00590,2005-06-13,small molecule,approved
DB00591,2005-06-13,small molecule,approved
DB00592,2005-06-13,small molecule,approved
DB00593,2005-06-13,small molecule,approved
DB00594,2005-06-13,small molecule,approved
DB00595,2005-06-13,small molecule,approved
DB00596,2005-06-13,small molecule,approved
DB00597,2005-06-13,small molecule,approved
DB00598,2005-06-13,small molecule,approved
DB00599,2005-06-13,small molecule,approved
DB00600,2005-06-13,small molecule,approved
DB00601,2005-06-13,small molecule,approved
DB00602,2005-06-13,small molecule,approved
DB00603,2005-06-13,small molecule,approved
DB00604,2005-06-13,small molecule,withdrawn
DB00605,2005-06-13,small molecule,approved
DB00606,2005-06-13,small molecule,approved
DB00607,2005-06-13,small molecule,approved
DB00608,2005-06-13,small molecule,approved
DB00609,2005-06-13,small molecule,approved
DB00610,2005-06-13,small molecule,approved
DB00611,2005-06-13,small molecule,approved
DB00612,2005-06-13,small molecule,approved
DB00613,2005-06-13,small molecule,approved
DB00614,2005-06-13,small molecule,approved
DB00615,2005-06-13,small molecule,approved
DB00616,2005-06-13,small molecule,experimental
DB00617,2005-06-13,small molecule,approved
DB00618,2005-06-13,small molecule,approved
DB00619,2005-06-13,small molecule,approved
DB00620,2005-06-13,small molecule,approved
DB00621,2005-06-13,small molecule,approved
DB00622,2005-06-13,small molecule,approved
DB00623,2005-06-13,small molecule,approved
DB00624,2005-06-13,small molecule,approved
DB00625,2005-06-13,small molecule,approved
DB00626,2005-06-13,small molecule,approved
DB00627,2005-06-13,small molecule,approved
DB00628,2005-06-13,small molecule,approved
DB00629,2005-06-13,small molecule,approved
DB00630,2005-06-13,small molecule,approved
DB00631,2005-06-13,small molecule,approved
DB00632,2005-06-13,small molecule,approved
DB00633,2005-06-13,small molecule,approved
DB00634,2005-06-13,small molecule,approved
DB00635,2005-06-13,small molecule,approved
DB00636,2005-06-13,small molecule,approved
DB00637,2005-06-13,small molecule,withdrawn
DB00638,2005-06-13,small molecule,approved
DB00639,2005-06-13,small molecule,approved
DB00640,2005-06-13,small molecule,approved
DB00641,2005-06-13,small molecule,approved
DB00642,2005-06-13,small molecule,approved
DB00643,2005-06-13,small molecule,approved
DB00644,2005-06-13,small molecule,approved
DB00645,2005-06-13,small molecule,approved
DB00646,2005-06-13,small molecule,approved
DB00647,2005-06-13,small molecule,withdrawn
DB00648,2005-06-13,small molecule,approved
DB00649,2005-06-13,small molecule,approved
DB00650,2005-06-13,small molecule,approved
DB00651,2005-06-13,small molecule,approved
DB00652,2005-06-13,small molecule,approved
DB00653,2005-06-13,small molecule,approved
DB00654,2005-06-13,small molecule,approved
DB00655,2005-06-13,small molecule,approved
DB00656,2005-06-13,small molecule,approved
DB00657,2005-06-13,small molecule,approved
DB00658,2005-06-13,small molecule,approved
DB00659,2005-06-13,small molecule,approved
DB00660,2005-06-13,small molecule,approved
DB00661,2005-06-13,small molecule,approved
DB00662,2005-06-13,small molecule,approved
DB00663,2005-06-13,small molecule,approved
DB00664,2005-06-13,small molecule,withdrawn
DB00665,2005-06-13,small molecule,approved
DB00666,2005-06-13,small molecule,approved
DB00668,2005-06-13,small molecule,approved
DB00669,2005-06-13,small molecule,approved
DB00670,2005-06-13,small molecule,approved
DB00671,2005-06-13,small molecule,approved
DB00672,2005-06-13,small molecule,approved
DB00673,2005-06-13,small molecule,approved
DB00674,2005-06-13,small molecule,approved
DB00675,2005-06-13,small molecule,approved
DB00676,2005-06-13,small molecule,approved
DB00677,2005-06-13,small molecule,withdrawn
DB00678,2005-06-13,small molecule,approved
DB00679,2005-06-13,small molecule,withdrawn
DB00680,2005-06-13,small molecule,withdrawn
DB00681,2005-06-13,small molecule,approved
DB00682,2005-06-13,small molecule,approved
DB00683,2005-06-13,small molecule,approved
DB00684,2005-06-13,small molecule,approved
DB00685,2005-06-13,small molecule,withdrawn
DB00686,2005-06-13,small molecule,approved
DB00687,2005-06-13,small molecule,approved
DB00688,2005-06-13,small molecule,approved
DB00689,2005-06-13,small molecule,approved
DB00690,2005-06-13,small molecule,approved
DB00691,2005-06-13,small molecule,approved
DB00692,2005-06-13,small molecule,approved
DB00693,2005-06-13,small molecule,approved
DB00694,2005-06-13,small molecule,approved
DB00695,2005-06-13,small molecule,approved
DB00696,2005-06-13,small molecule,approved
DB00697,2005-06-13,small molecule,approved
DB00698,2005-06-13,small molecule,approved
DB00699,2005-06-13,small molecule,approved
DB00700,2005-06-13,small molecule,approved
DB00701,2005-06-13,small molecule,approved
DB00702,2005-06-13,small molecule,approved
DB00703,2005-06-13,small molecule,approved
DB00704,2005-06-13,small molecule,approved
DB00705,2005-06-13,small molecule,approved
DB00706,2005-06-13,small molecule,approved
DB00707,2005-06-13,small molecule,approved
DB00708,2005-06-13,small molecule,approved
DB00709,2005-06-13,small molecule,approved
